,Unnamed: 0,File,V_Neg,V_Neut,V_Pos,A_Neut,A_Pos,Laning,Shopping,Returning,Roaming,Fighting,Pushing,Defending,Dead,Misc
198,198,29_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
200,200,2_04_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
203,203,12_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
204,204,219_02_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
205,205,227_02_01.mp4,0,0,1,1,0,0,0,0,1,0,0,0,0,0
208,208,80_03_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
209,209,202_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
211,211,163_01_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
212,212,202_01_01.mp4,0,0,1,1,0,0,0,1,0,0,0,0,0,0
215,215,163_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
217,217,203_03_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
218,218,88_01_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
220,220,179_06_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
221,221,28_02_01.mp4,0,0,1,1,0,0,0,0,0,0,0,0,1,0
223,223,236_06_01.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
224,224,176_05_01.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
225,225,14_07_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
226,226,54_01_02.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
227,227,187_05_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
229,229,143_03_02.mp4,0,0,1,0,1,0,0,1,0,0,0,0,0,0
231,231,57_07_01.mp4,0,1,0,0,1,1,0,0,0,0,0,0,0,0
233,233,169_04_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
235,235,177_01_01.mp4,1,0,0,1,0,0,0,0,0,0,0,0,1,0
237,237,145_01_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
238,238,1_06_01.mp4,0,1,0,0,1,0,0,0,1,0,0,0,0,0
239,239,79_02_02.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0
241,241,194_02_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
244,244,126_01_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
245,245,32_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
248,248,133_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
249,249,29_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
250,250,128_01_01.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0
251,251,59_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
252,252,35_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
253,253,65_03_01.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0
254,254,81_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
255,255,179_01_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
256,256,20_07_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
257,257,210_06_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
259,259,219_03_01.mp4,0,0,1,1,0,0,0,0,1,0,0,0,0,0
260,260,166_05_02.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
261,261,20_02_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
262,262,226_02_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
267,267,31_04_03.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
268,268,213_02_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
269,269,154_02_03.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
271,271,223_07_01.mp4,0,1,0,0,1,0,0,1,0,0,0,0,0,0
272,272,62_07_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
273,273,112_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
274,274,225_02_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
275,275,162_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
276,276,154_06_01.mp4,0,0,1,1,0,0,0,0,0,0,0,1,0,0
277,277,196_02_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
278,278,75_03_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
280,280,30_04_03.mp4,0,0,1,0,1,1,0,0,0,0,0,0,0,0
282,282,183_05_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
284,284,18_05_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
285,285,85_03_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
286,286,141_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
287,287,46_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
288,288,66_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
289,289,24_03_01.mp4,1,0,0,0,1,0,1,0,0,0,0,0,0,0
291,291,153_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
292,292,71_02_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
296,296,68_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
297,297,150_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
298,298,55_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
300,300,111_02_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
302,302,111_01_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
304,304,124_04_02.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
306,306,102_01_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
311,311,74_03_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
312,312,41_01_03.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0
313,313,161_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
314,314,32_02_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
315,315,96_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
316,316,75_04_02.mp4,0,1,0,0,1,0,0,1,0,0,0,0,0,0
322,322,122_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
324,324,142_04_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
325,325,7_02_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
327,327,95_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
329,329,220_07_01.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
331,331,22_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
333,333,193_01_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
335,335,237_02_02.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
336,336,196_01_02.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
339,339,12_01_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
343,343,91_04_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
344,344,9_03_01.mp4,1,0,0,1,0,1,0,0,0,0,0,0,0,0
345,345,23_07_02.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
346,346,44_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
347,347,48_06_01.mp4,0,0,1,0,1,0,0,0,1,0,0,0,0,0
348,348,143_06_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
351,351,77_06_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
352,352,98_04_02.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
354,354,5_06_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
355,355,87_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
361,361,56_01_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
362,362,191_02_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
364,364,131_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
365,365,35_04_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
366,366,177_02_02.mp4,0,0,1,1,0,0,0,0,1,0,0,0,0,0
369,369,150_01_03.mp4,0,0,1,1,0,0,1,0,0,0,0,0,0,0
371,371,213_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
373,373,221_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
374,374,113_03_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
376,376,224_02_01.mp4,0,0,1,0,1,0,0,0,1,0,0,0,0,0
379,379,132_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
381,381,89_06_01.mp4,0,0,1,0,1,0,0,0,1,0,0,0,0,0
382,382,58_04_01.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
383,383,6_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
384,384,189_03_03.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
385,385,13_01_01.mp4,0,0,1,1,0,0,0,1,0,0,0,0,0,0
386,386,75_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
387,387,14_07_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
388,388,144_03_01.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
389,389,85_02_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
390,390,148_07_01.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
392,392,219_05_01.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
393,393,172_02_03.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
395,395,23_04_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
397,397,112_06_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
399,399,87_01_03.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
400,400,55_03_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
401,401,153_05_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
402,402,115_05_01.mp4,0,0,1,0,1,1,0,0,0,0,0,0,0,0
403,403,218_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
405,405,222_01_03.mp4,0,0,1,1,0,0,0,1,0,0,0,0,0,0
407,407,229_01_01.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
408,408,187_03_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
409,409,199_04_02.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
411,411,145_02_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
412,412,71_03_03.mp4,0,0,1,1,0,0,0,0,1,0,0,0,0,0
414,414,188_03_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
417,417,188_01_02.mp4,0,0,1,1,0,0,0,0,1,0,0,0,0,0
419,419,169_03_01.mp4,0,1,0,0,1,0,0,0,1,0,0,0,0,0
420,420,21_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
421,421,225_05_03.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
422,422,40_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
425,425,52_02_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
428,428,126_02_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
429,429,205_01_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
430,430,150_03_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
431,431,99_04_02.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
432,432,134_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
433,433,21_07_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
435,435,60_01_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
438,438,154_03_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
440,440,188_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
441,441,145_01_03.mp4,0,0,1,1,0,1,0,0,0,0,0,0,0,0
442,442,203_06_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
445,445,113_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
446,446,233_05_01.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
447,447,40_06_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
448,448,166_01_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
449,449,77_06_03.mp4,0,0,1,1,0,0,0,0,0,0,0,0,1,0
451,451,83_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
452,452,110_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
453,453,4_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
454,454,169_01_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
455,455,193_04_01.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
458,458,8_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
459,459,230_01_01.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
462,462,197_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
463,463,183_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
465,465,119_03_02.mp4,0,0,1,0,1,0,0,0,1,0,0,0,0,0
466,466,202_03_02.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
468,468,37_07_02.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
469,469,106_05_01.mp4,0,0,1,1,0,0,0,0,1,0,0,0,0,0
472,472,186_03_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
475,475,216_03_03.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
476,476,164_03_03.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
477,477,224_01_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
478,478,66_02_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
480,480,128_02_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
484,484,23_02_01.mp4,1,0,0,1,0,0,0,0,0,0,0,0,1,0
485,485,65_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
486,486,25_06_01.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
487,487,126_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
488,488,104_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
490,490,181_04_02.mp4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
493,493,220_05_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
494,494,71_04_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
496,496,96_01_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
500,500,54_05_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
503,503,80_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
504,504,122_06_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
505,505,48_05_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
506,506,17_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
508,508,170_01_03.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
510,510,105_01_02.mp4,0,1,0,1,0,0,0,0,0,0,0,1,0,0
511,511,106_05_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
514,514,211_07_01.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
515,515,65_04_01.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
516,516,54_03_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
517,517,176_06_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
518,518,197_01_01.mp4,1,0,0,1,0,0,0,0,0,0,0,0,1,0
523,523,185_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
524,524,149_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
527,527,175_06_03.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
528,528,34_03_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
529,529,220_02_02.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
530,530,15_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
532,532,219_02_01.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
533,533,0_03_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
535,535,0_04_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
539,539,15_03_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
541,541,54_01_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
542,542,100_04_03.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
546,546,217_05_01.mp4,0,1,0,1,0,0,0,0,0,0,1,0,0,0
547,547,164_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
548,548,35_05_03.mp4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
549,549,208_04_02.mp4,0,1,0,1,0,0,0,0,0,1,0,0,0,0
551,551,112_03_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
552,552,30_07_01.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
553,553,195_01_02.mp4,0,1,0,1,0,1,0,0,0,0,0,0,0,0
555,555,184_02_03.mp4,0,1,0,1,0,0,0,0,0,0,0,0,1,0
562,562,163_02_02.mp4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
